id_matriculados;id_curso;codigo_universidade;codigo_curso;ano_matriculados;Total_matriculados;18anos;19anos;20anos;21anos;22anos;23anos;24anos;nome_curso;ano_desempregados;n_diplomados;taxa_desemprego
31509119;31509119;3150;9119;2017;346;28;43;54;55;37;25;25;Engenharia Informática;2018;105;1,9
31509687;31509687;3150;9687;2017;31;7;10;5;2;2;2;0;Bioinformática;2018;0;
31609119;31609119;3160;9119;2017;242;32;32;58;48;21;15;6;Engenharia Informática;2018;112;0,9
31809119;31809119;3180;9119;2017;303;39;54;64;37;26;26;14;Engenharia Informática;2018;150;2,3
31809122;31809122;3180;9122;2017;62;7;9;8;5;11;6;6;Engenharia Informática e Telecomunicações;2018;28;
31809168;31809168;3180;9168;2017;36;1;10;9;5;3;1;2;Gestão e Informática;2018;12;
32409119;32409119;3240;9119;2017;215;25;32;22;35;21;7;11;Engenharia Informática;2018;62;0
40329119;40329119;4032;9119;2017;88;17;16;15;11;5;6;4;Engenharia Informática;2018;27;
41159186;41159186;4115;9186;2017;22;0;0;4;1;2;0;3;Informática de Gestão;2018;20;
43508286;43508286;4350;8286;2017;16;0;0;0;0;2;2;4;Sistemas de Informação, Web e Multimédia;2018;;
43509119;43509119;4350;9119;2017;97;14;11;13;19;14;8;6;Engenharia Informática;2018;25;
43509186;43509186;4350;9186;2017;61;0;2;3;7;1;8;8;Informática de Gestão;2018;58;0,8
43529186;43529186;4352;9186;2017;8;0;0;0;0;0;1;0;Informática de Gestão;2018;0;
43589185;43589185;4358;9185;2017;80;6;8;8;8;13;3;5;Informática;2018;21;
43759119;43759119;4375;9119;2017;31;1;2;2;2;2;2;1;Engenharia Informática;2018;26;
44409119;44409119;4440;9119;2017;86;3;14;12;14;3;2;7;Engenharia Informática;2018;22;
44509687;44509687;4450;9687;2017;5;0;0;2;2;0;0;0;Bioinformática;2018;;
45009185;45009185;4500;9185;2017;45;1;7;3;5;5;5;2;Informática;2018;12;
45309185;45309185;4530;9185;2017;299;7;7;32;41;33;37;26;Informática;2018;66;4,5
45319185;45319185;4531;9185;2017;49;0;0;7;7;5;1;1;Informática;2018;12;
68008365;68008365;6800;8365;2017;47;0;0;0;0;1;3;4;Engenharia de Telecomunicações e Informática (regime pós-laboral);2018;;
68008366;68008366;6800;8366;2017;156;15;19;25;22;18;10;7;Informática e Gestão de Empresas (regime pós-laboral);2018;222;1,6
68009098;68009098;6800;9098;2017;291;51;48;57;35;28;14;16;Engenharia de Telecomunicações e Informática;2018;193;1,3
68009119;68009119;6800;9119;2017;330;42;66;57;42;34;19;22;Engenharia Informática;2018;191;0,8
68009189;68009189;6800;9189;2017;318;38;60;58;62;26;21;13;Informática e Gestão de Empresas;2018;222;1,6
68009885;68009885;6800;9885;2017;153;17;17;16;19;12;9;9;Engenharia Informática (regime pós-laboral);2018;191;0,8
150091211;150091211;1500;9121;2017;828;156;172;163;81;52;29;34;Engenharia Informática e de Computadores;2018;293;0
150091212;150091212;1500;9121;2017;434;82;67;70;55;44;22;18;Engenharia Informática e de Computadores;2018;639;0,9
306091191;306091191;3060;9119;2017;795;95;113;126;109;95;65;47;Engenharia Informática;2018;23;
306091192;306091192;3060;9119;2017;103;15;20;16;15;4;3;6;Engenharia Informática;2018;265;1,9
313091191;313091191;3130;9119;2017;1148;171;182;198;129;89;62;46;Engenharia Informática;2018;76;2
313091192;313091192;3130;9119;2017;273;33;48;46;30;34;21;14;Engenharia Informática;2018;768;1,7
